STATION,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,TAVG,TMAX,TMIN
GHCND:USC00209014,200.9,42.08333,-83.58333,19700101,0.10,-9999,30,3
GHCND:USC00209014,200.9,42.08333,-83.58333,19700102,0.00,-9999,26,10
GHCND:USC00209014,200.9,42.08333,-83.58333,19700103,0.01,-9999,20,6
GHCND:USC00209014,200.9,42.08333,-83.58333,19700104,0.00,-9999,20,3
GHCND:USC00209014,200.9,42.08333,-83.58333,19700105,0.00,-9999,26,7
GHCND:USC00209014,200.9,42.08333,-83.58333,19700106,0.00,-9999,18,-4
GHCND:USC00209014,200.9,42.08333,-83.58333,19700107,0.00,-9999,8,-4
GHCND:USC00209014,200.9,42.08333,-83.58333,19700108,0.00,-9999,5,-7
GHCND:USC00209014,200.9,42.08333,-83.58333,19700109,0.00,-9999,17,-4
GHCND:USC00209014,200.9,42.08333,-83.58333,19700110,0.08,-9999,20,4
GHCND:USC00209014,200.9,42.08333,-83.58333,19700111,0.05,-9999,18,3
GHCND:USC00209014,200.9,42.08333,-83.58333,19700112,0.01,-9999,29,11
GHCND:USC00209014,200.9,42.08333,-83.58333,19700113,0.01,-9999,24,5
GHCND:USC00209014,200.9,42.08333,-83.58333,19700114,0.00,-9999,18,7
GHCND:USC00209014,200.9,42.08333,-83.58333,19700115,0.00,-9999,24,-3
GHCND:USC00209014,200.9,42.08333,-83.58333,19700116,0.00,-9999,41,4
GHCND:USC00209014,200.9,42.08333,-83.58333,19700117,0.34,-9999,34,20
GHCND:USC00209014,200.9,42.08333,-83.58333,19700118,0.00,-9999,20,0
GHCND:USC00209014,200.9,42.08333,-83.58333,19700119,0.00,-9999,17,-11
GHCND:USC00209014,200.9,42.08333,-83.58333,19700120,0.00,-9999,8,-4
GHCND:USC00209014,200.9,42.08333,-83.58333,19700121,0.00,-9999,12,-9
GHCND:USC00209014,200.9,42.08333,-83.58333,19700122,0.00,-9999,14,-12
GHCND:USC00209014,200.9,42.08333,-83.58333,19700123,0.12,-9999,20,-10
GHCND:USC00209014,200.9,42.08333,-83.58333,19700124,0.04,-9999,31,-17
GHCND:USC00209014,200.9,42.08333,-83.58333,19700125,0.00,-9999,38,25
GHCND:USC00209014,200.9,42.08333,-83.58333,19700126,0.00,-9999,34,28
GHCND:USC00209014,200.9,42.08333,-83.58333,19700127,0.13,-9999,37,29
GHCND:USC00209014,200.9,42.08333,-83.58333,19700128,0.05,-9999,48,26
GHCND:USC00209014,200.9,42.08333,-83.58333,19700129,0.00,-9999,40,22
