Year,Trimester,Classification
1950,DJF,La Nina
1950,JFM,La Nina
1950,FMA,La Nina
1950,MAM,La Nina
1950,AMJ,La Nina
1950,MJJ,La Nina
1950,JJA,La Nina
1950,JAS,La Nina
1950,ASO,La Nina
1950,SON,La Nina
1950,OND,La Nina
1950,NDJ,La Nina
1951,DJF,La Nina
1951,JFM,La Nina
1951,FMA,Regular
1951,MAM,Regular
1951,AMJ,Regular
1951,MJJ,Regular
1951,JJA,El Nino
1951,JAS,El Nino
1951,ASO,El Nino
1951,SON,El Nino
1951,OND,El Nino
1951,NDJ,El Nino
1952,DJF,El Nino
1952,JFM,Regular
1952,FMA,Regular
1952,MAM,Regular
1952,AMJ,Regular
1952,MJJ,Regular
1952,JJA,Regular
1952,JAS,Regular
1952,ASO,Regular
1952,SON,Regular
1952,OND,Regular
1952,NDJ,Regular
1953,DJF,El Nino
1953,JFM,El Nino
1953,FMA,El Nino
1953,MAM,El Nino
1953,AMJ,El Nino
1953,MJJ,El Nino
1953,JJA,El Nino
1953,JAS,El Nino
1953,ASO,El Nino
1953,SON,El Nino
1953,OND,El Nino
1953,NDJ,El Nino
1954,DJF,El Nino
1954,JFM,Regular
1954,FMA,Regular
1954,MAM,Regular
1954,AMJ,La Nina
1954,MJJ,La Nina
1954,JJA,La Nina
1954,JAS,La Nina
1954,ASO,La Nina
1954,SON,La Nina
1954,OND,La Nina
1954,NDJ,La Nina
1955,DJF,La Nina
1955,JFM,La Nina
1955,FMA,La Nina
1955,MAM,La Nina
1955,AMJ,La Nina
1955,MJJ,La Nina
1955,JJA,La Nina
1955,JAS,La Nina
1955,ASO,La Nina
1955,SON,La Nina
1955,OND,La Nina
1955,NDJ,La Nina
1956,DJF,La Nina
1956,JFM,La Nina
1956,FMA,La Nina
1956,MAM,La Nina
1956,AMJ,La Nina
1956,MJJ,Regular
1956,JJA,Regular
1956,JAS,Regular
1956,ASO,Regular
1956,SON,Regular
1956,OND,Regular
1956,NDJ,Regular
1957,DJF,Regular
1957,JFM,Regular
1957,FMA,Regular
1957,MAM,El Nino
1957,AMJ,El Nino
1957,MJJ,El Nino
1957,JJA,El Nino
1957,JAS,El Nino
1957,ASO,El Nino
1957,SON,El Nino
1957,OND,El Nino
1957,NDJ,El Nino
1958,DJF,El Nino
1958,JFM,El Nino
1958,FMA,El Nino
1958,MAM,El Nino
1958,AMJ,El Nino
1958,MJJ,El Nino
1958,JJA,El Nino
1958,JAS,Regular
1958,ASO,Regular
1958,SON,El Nino
1958,OND,El Nino
1958,NDJ,El Nino
1959,DJF,El Nino
1959,JFM,El Nino
1959,FMA,Regular
1959,MAM,Regular
1959,AMJ,Regular
1959,MJJ,Regular
1959,JJA,Regular
1959,JAS,Regular
1959,ASO,Regular
1959,SON,Regular
1959,OND,Regular
1959,NDJ,Regular
1960,DJF,Regular
1960,JFM,Regular
1960,FMA,Regular
1960,MAM,Regular
1960,AMJ,Regular
1960,MJJ,Regular
1960,JJA,Regular
1960,JAS,Regular
1960,ASO,Regular
1960,SON,Regular
1960,OND,Regular
1960,NDJ,Regular
1961,DJF,Regular
1961,JFM,Regular
1961,FMA,Regular
1961,MAM,Regular
1961,AMJ,Regular
1961,MJJ,Regular
1961,JJA,Regular
1961,JAS,Regular
1961,ASO,Regular
1961,SON,Regular
1961,OND,Regular
1961,NDJ,Regular
1962,DJF,Regular
1962,JFM,Regular
1962,FMA,Regular
1962,MAM,Regular
1962,AMJ,Regular
1962,MJJ,Regular
1962,JJA,Regular
1962,JAS,Regular
1962,ASO,Regular
1962,SON,Regular
1962,OND,Regular
1962,NDJ,Regular
1963,DJF,Regular
1963,JFM,Regular
1963,FMA,Regular
1963,MAM,Regular
1963,AMJ,Regular
1963,MJJ,Regular
1963,JJA,El Nino
1963,JAS,El Nino
1963,ASO,El Nino
1963,SON,El Nino
1963,OND,El Nino
1963,NDJ,El Nino
1964,DJF,El Nino
1964,JFM,El Nino
1964,FMA,Regular
1964,MAM,Regular
1964,AMJ,La Nina
1964,MJJ,La Nina
1964,JJA,La Nina
1964,JAS,La Nina
1964,ASO,La Nina
1964,SON,La Nina
1964,OND,La Nina
1964,NDJ,La Nina
1965,DJF,La Nina
1965,JFM,Regular
1965,FMA,Regular
1965,MAM,Regular
1965,AMJ,Regular
1965,MJJ,El Nino
1965,JJA,El Nino
1965,JAS,El Nino
1965,ASO,El Nino
1965,SON,El Nino
1965,OND,El Nino
1965,NDJ,El Nino
1966,DJF,El Nino
1966,JFM,El Nino
1966,FMA,El Nino
1966,MAM,El Nino
1966,AMJ,Regular
1966,MJJ,Regular
1966,JJA,Regular
1966,JAS,Regular
1966,ASO,Regular
1966,SON,Regular
1966,OND,Regular
1966,NDJ,Regular
1967,DJF,Regular
1967,JFM,Regular
1967,FMA,Regular
1967,MAM,Regular
1967,AMJ,Regular
1967,MJJ,Regular
1967,JJA,Regular
1967,JAS,Regular
1967,ASO,Regular
1967,SON,Regular
1967,OND,Regular
1967,NDJ,La Nina
1968,DJF,La Nina
1968,JFM,La Nina
1968,FMA,La Nina
1968,MAM,La Nina
1968,AMJ,Regular
1968,MJJ,Regular
1968,JJA,Regular
1968,JAS,Regular
1968,ASO,Regular
1968,SON,Regular
1968,OND,El Nino
1968,NDJ,El Nino
1969,DJF,El Nino
1969,JFM,El Nino
1969,FMA,El Nino
1969,MAM,El Nino
1969,AMJ,El Nino
1969,MJJ,El Nino
1969,JJA,Regular
1969,JAS,El Nino
1969,ASO,El Nino
1969,SON,El Nino
1969,OND,El Nino
1969,NDJ,El Nino
1970,DJF,El Nino
1970,JFM,Regular
1970,FMA,Regular
1970,MAM,Regular
1970,AMJ,Regular
1970,MJJ,Regular
1970,JJA,La Nina
1970,JAS,La Nina
1970,ASO,La Nina
1970,SON,La Nina
1970,OND,La Nina
1970,NDJ,La Nina
1971,DJF,La Nina
1971,JFM,La Nina
1971,FMA,La Nina
1971,MAM,La Nina
1971,AMJ,La Nina
1971,MJJ,La Nina
1971,JJA,La Nina
1971,JAS,La Nina
1971,ASO,La Nina
1971,SON,La Nina
1971,OND,La Nina
1971,NDJ,La Nina
